委員,政黨,度數中心性,加權度數中心性,介數中心性,特徵向量中心性,接近中心性,LeaderRank,核數,社區,會議數量,會議加權介數中心性,會議加權LeaderRank,會議加權特徵向量中心性,會議加權核數
陳玉珍,國民黨,0.982905982905983,0.012935859850910003,0.0,0.06039007878179695,0.2671232876712329,0.0067609870662498845,100,4,211,0.0,0.03621581052230913,0.3234846671289351,535.6586274672012
蔡適應,民進黨,0.9572649572649574,0.012928371654180098,0.002810750303662575,0.05625414099097208,0.325,0.006753082079144368,100,6,205,0.014975329559301913,0.035979585075353274,0.2997150971815293,532.7876168789581
魯明哲,民進黨,0.982905982905983,0.012827280998326389,0.005546472354241069,0.057779991765156725,0.3762057877813505,0.0068494679234567596,100,5,196,0.029303143423268584,0.036187134473077996,0.30526346794012627,528.3203728737989
廖國棟,國民黨,1.0,0.0127636313261222,0.0,0.058781578322,0.32320441988950277,0.00668005969687299,100,2,182,0.0,0.034799678491013904,0.30622181831062245,520.9486152841421
王定宇,民進黨,0.9401709401709403,0.012748654932662392,0.0187268021662357,0.05541872708135391,0.3502994011976048,0.00667595171101787,100,6,210,0.10022318848736575,0.03572874646330445,0.2965931652772343,535.1858133476067
陳素月,民進黨,0.982905982905983,0.012681261162093251,0.0036798234269659023,0.056602890077770765,0.34411764705882353,0.0068305948732739295,100,5,206,0.01962346354487924,0.03642564164988996,0.30184729567086205,533.2718793265369
徐志榮,國民黨,0.9572649572649574,0.012456615260196115,0.0018348457617659642,0.05606439272974209,0.32231404958677684,0.006539380272167204,100,2,163,0.009357468300665759,0.03334996590880139,0.28592091427876276,509.9866427824199
鄭麗文,國民黨,0.9914529914529916,0.0120971818171607,0.0,0.0575767495749734,0.2647058823529412,0.0064479761294120854,100,4,216,0.0,0.03468944971431614,0.3097570026638612,537.9897353540459
馬文君,國民黨,0.9316239316239318,0.01176395706267995,0.01964028981945584,0.051365499722950674,0.3482142857142857,0.006249493656739314,100,6,183,0.10242284966928399,0.03259070793748039,0.2678677812126699,521.4935757608986
吳秉叡,民進黨,0.9487179487179488,0.011561775750972529,0.022504586527144932,0.0626009922177925,0.34110787172011664,0.006086593954236213,100,3,189,0.11808210724194801,0.03193650499534389,0.3284689131078885,524.7024072160486
費鴻泰,國民黨,0.9658119658119659,0.01144570870165901,0.011593182907003551,0.060012339247093364,0.33815028901734107,0.0060697292908025,100,3,199,0.06142436232974476,0.03215935211170418,0.3179644192400471,529.8317366548036
高金素梅,國民黨,0.9914529914529916,0.011430732308199201,4.286900838624976e-05,0.052004271662684606,0.2932330827067669,0.006164316341220132,100,0,174,0.0002214092532293123,0.03183737457796126,0.26859093286754154,516.4785973923515
羅明才,國民黨,0.9572649572649574,0.011340873947440348,0.0003346057943759093,0.060706327689388016,0.2727272727272727,0.006002879619050887,100,3,187,0.001752143822676061,0.03143373073501472,0.3178851617220171,523.6441962829949
陳歐珀,民進黨,0.9914529914529916,0.01126224788177635,0.007722067418676307,0.05236280373780921,0.34210526315789475,0.006174731582246939,100,5,195,0.040757957242081776,0.03259094128107121,0.27637688200694127,527.8114659230516
吳琪銘,民進黨,0.9401709401709403,0.011157413127557686,0.015269127774739403,0.05129780131594237,0.3314447592067989,0.006057081444763321,100,4,179,0.07929192168495097,0.031454162584983666,0.2663872687792278,519.295685089021
陳柏惟,基進黨,0.9230769230769231,0.010753050504142846,0.0,0.048679338847544856,0.26292134831460673,0.005804482111988551,100,6,153,0.0,0.029236901279644092,0.24519552249191595,503.695260241363
林岱樺,民進黨,0.9743589743589745,0.01072684181558818,0.05425479263267874,0.05361277721908859,0.4020618556701031,0.005735548405009956,100,1,144,0.27001165718308345,0.028544297278499553,0.26681651741111523,497.67337424205743
楊曜,民進黨,0.8974358974358976,0.010659448045019039,0.03512885535675704,0.048242046625489296,0.36908517350157727,0.005772290002189482,99,2,142,0.17433905117445864,0.028646978441669017,0.2394177820480576,491.3216183957308
陳超明,國民黨,0.9658119658119659,0.01029627050361867,0.008310167593990883,0.04938800759233391,0.3556231003039514,0.005576793217031585,100,1,144,0.04135749147018442,0.027754214977703272,0.24579096385569166,497.67337424205743
許智傑,民進黨,0.9230769230769231,0.010049160011531824,0.005342724203607113,0.04640820237265108,0.3170731707317073,0.005635112823064694,100,5,176,0.02765474045771668,0.029168187732129668,0.24021580430043002,517.6149732573829
林文瑞,國民黨,0.9316239316239318,0.009918116568758495,0.020968594633152714,0.045086209500784,0.3482142857142857,0.0055111765301775,100,4,148,0.1049257216554323,0.02757763143959501,0.22560897148053116,500.3946305945459
劉櫂豪,民進黨,0.9658119658119659,0.009682238371766502,0.0021322189716136398,0.04354861586742738,0.3268156424581006,0.005519415099927847,100,5,151,0.010712013357668644,0.027728882006992316,0.21878304296618548,502.38805208462765
趙正宇,民進黨,0.8376068376068377,0.008615170337755114,0.060422120689849486,0.03833648204192121,0.3786407766990291,0.005060046251484158,96,5,141,0.29944158059240505,0.025076714125819022,0.18998897499659795,475.759397529721
蘇震清,民進黨,0.9316239316239318,0.008529056075361212,0.0385457092786785,0.0400032648835628,0.375,0.004901859975797228,100,1,126,0.1867226271261615,0.023745526794385154,0.19378329916513737,484.4187086458591
周春米,民進黨,0.9230769230769231,0.008158390337230939,0.028495369089637172,0.04024307898098442,0.36792452830188677,0.004676819692304116,100,0,140,0.1410167396123183,0.023144457707805377,0.19915333512641645,494.87598903781685
陳雪生,國民黨,0.9316239316239318,0.007604263779218008,0.02159381443773788,0.03368991294095823,0.3556231003039514,0.004599369762818818,100,5,127,0.10477384116536856,0.022316281284153697,0.16346447717834647,485.2030263919617
林靜儀,民進黨,0.9658119658119659,0.0075218936151890585,0.023113878253349027,0.03259388315607363,0.35347432024169184,0.004490997262143283,100,6,127,0.11214923680180297,0.02179045463109935,0.1581465074919291,485.2030263919617
傅崐萁,國民黨,0.9487179487179488,0.007008952139190601,0.004078811820854262,0.03190976014041906,0.3136729222520107,0.004311449937812051,100,5,109,0.019172374879687475,0.02026588578078248,0.14999120101718527,470.0480365792417
許淑華,國民黨,0.8974358974358976,0.00697525525390603,0.015133127294484208,0.03097392926814179,0.34718100890207715,0.004315656565103711,100,5,103,0.07028415868205036,0.020043596074787392,0.14385503520360632,464.43908991413724
陳培瑜,民進黨,0.8974358974358976,0.004751260825124398,0.001316242483067941,0.02115881202375739,0.32320441988950277,0.003357721795319647,99,0,95,0.00600778899712429,0.015325811403919367,0.09657618539424495,451.8704709553158
王鴻薇,國民黨,0.9145299145299146,0.004638937874175831,0.00042525214702057306,0.022044124370968237,0.30708661417322836,0.003244636817052205,99,4,84,0.0018892469852861537,0.01441478983213172,0.09793435683491085,439.8224743925413
陳琬惠,民進黨,0.8803418803418804,0.0040436262341484236,0.0028312585231947953,0.01877323361356459,0.31536388140161725,0.0030206196611032715,98,4,76,0.012298436123723007,0.013120984061258228,0.08154727395632769,425.69293134166105
柯建銘,民進黨,0.8376068376068377,0.003916326889740048,0.0780075980542674,0.020832280371373142,0.38870431893687707,0.0029153899906532027,96,6,100,0.36001446624975575,0.013454876160457244,0.09614348455451364,443.05156961676096
陳靜敏,民進黨,0.7179487179487181,0.00328731836442807,0.07270592815985868,0.014015532334922583,0.34615384615384615,0.0027126029000477036,84,0,68,0.30784464334443873,0.011485449583481373,0.05934325662468893,355.6649463861698
蔡培慧,民進黨,0.7606837606837608,0.002590916068546953,0.017801878786641193,0.011630533432814965,0.3170731707317073,0.0024114643638089342,88,5,44,0.067765744224545,0.009179630939129317,0.04427351535471635,334.98629909978814
吳欣盈,民眾黨,0.8461538461538463,0.0024486403306787675,0.08568030997839558,0.011269996434356321,0.4006849315068493,0.00233197644889407,96,2,56,0.34640988588660954,0.009428300338261482,0.04556517337241518,388.13292171211685
鄭天財,國民黨,0.8632478632478633,0.001688588362593462,0.12330760914519905,0.007582474334514754,0.3979591836734694,0.0020084575014212916,98,4,32,0.43114598776254176,0.00702258684060362,0.026512178845256355,342.65774102371506
余天,民進黨,0.5897435897435898,0.0011719027882300525,0.29257314094597275,0.006039551618185816,0.41637010676156583,0.0017562934076489304,69,3,20,0.8907454922852316,0.005347074686812899,0.018387550415355523,210.0720482029162
伍麗華,民進黨,0.5897435897435898,0.0008985836075885386,0.21853969600508583,0.0038659964982534173,0.40484429065743943,0.0016616989859452964,69,4,19,0.6546864203751138,0.004978005281128264,0.011581490479264477,206.70552687522536
